Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Added 8% margin for ONDC (product.metafields.custom.added_8_margin_for_ondc),Brand (product.metafields.custom.brand),Colour (product.metafields.custom.colour),Default Delivery Fees (product.metafields.custom.default_delivery_fees),Default Discount (product.metafields.custom.default_discount),Default Tax (product.metafields.custom.default_tax),Dimension (product.metafields.custom.dimension),Expected Delivery In Hours (product.metafields.custom.expected_delivery_in_hours),Features (product.metafields.custom.features),Material (product.metafields.custom.material),Minimum Better Home Price (product.metafields.custom.minimum_better_home_price),Other Website Price (product.metafields.custom.other_website_price),Purchase Price (product.metafields.custom.purchase_price),Returns (product.metafields.custom.returns),Service (product.metafields.custom.service),source (product.metafields.custom.source),Warranty (product.metafields.custom.warranty)
faber-90cm-4-burner-hob-experia-ht-904-alu-ai-ffd,Faber 90cm 4 Burner Hob Experia HT 904 ALU AI FFD,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances,Hob Top,Kitchen Tools,TRUE,Title,Default Title,,,,,,,,KICH0021,0,,-1,deny,manual,29285,33590,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Faber90cm4BurnerHobExperiaHT904ALUAIFFD-Fullimage2.webp?v=1738237931,1,,FALSE,,"The Faber Experia HT 904 ALU AI FFD is a 90cm gas hob with four burners, designed for efficiency and performance.&nbsp;

Burner Configuration: It typically includes a mix of different burner sizes, allowing for versatile cooking options, from simmering to rapid boiling.

Flame Failure Device (FFD): This safety feature ensures that the gas supply is cut off if the flame is extinguished, enhancing safety in the kitchen.

Material and Design: The hob often features a sleek aluminium finish that complements modern kitchen aesthetics.

Easy to Clean: The design usually allows for easy cleaning, with removable burner caps and a flat surface.

Control: Most models come with easy-to-use controls for precise heat management.

Buy original Faber 90cm 4 Burner Hob Experia HT 904 ALU AI FFD at wholesale price in Better Home

",,,,,,,,,,,,,Faber,,,,,,," Width: 90 CM
 Burner: 4 Brass Burners
 Burner Type: 1 x 3.0 KW Triple Ring Big Burner, 1 x 2.8 KW   Mini Triple Ring Burner, 2 x 1.7 KW Small Burners
 Pan Support: Cast Iron
 Drip Tray: Round design Stainless Steel Black
 Knobs: Premium Metal knobs with Golden inserts
 Glass: 8 MM
 Control: In-built Auto Electric, DC 1.5 V Operated
 Product Dimension (WxDxH) (mm): 900x525x130 MM
 Cut Out Dimensions (WxD) (mm): 828x478 MM
",,,,,Immediately return goods on delivery in case of any damages found.,,https://faberindia.com/products/hob-experia-ht-904-alu-ai-ffd,"Manufacturer warranty: 5 Years on Glass and Valves, 2 Years on Burners,1 Year Comprehensive"
bosch-built-in-gas-hob-60cm-series-4-3-burner-pnc6b6f10i-tempered-glass-black,Bosch Built-in Gas Hob 60CM - Series 4 - 3 Burner - PNC6B6F10I - Tempered Glass Black,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances,Hob Top,"Bosch, Hob",TRUE,Title,Default Title,,,,,,,,KICH00013,0,shopify,0,deny,manual,31041,34490,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_Built-in_Gas_Hob_60CM-Series4_3Burner_-_PNC6B6F10I-Tempered_Glass_-_Black-Full_View.webp?v=1737052239,1,Bosch_Built-in_Gas_Hob_60CM-Series4_3Burner_-_PNC6B6F10I-Tempered Glass - Black-Full View,FALSE,,"The Bosch Built-in Gas Hob 60CM (PNC6B6F10I) is a stylish and functional addition to any kitchen.

6mm Tempered Glass.

Low Profile Stainless Steel Cooking Surface is Easily Accessible and Quick to Clean.

Here are some key features you might find interesting:

Design: It features a sleek tempered glass surface in black, making it easy to clean and enhancing the aesthetic of your kitchen.

Burners: The hob includes three burners, allowing for versatile cooking options. Each burner is designed to provide efficient heat distribution.

Control: Typically, these models come with front controls for easy access and adjustment of heat settings.

Safety Features: Look for flame failure safety devices, which automatically cut off the gas supply if the flame goes out.

Installation: Being a built-in model, it fits seamlessly into your countertop for a streamlined look.

Buy original Bosch Built-in Gas Hob 60CM - Series 4 - 3 Burner - &nbsp;PNC6B6F10I - Tempered Glass Black at wholesale prices from Better Home. 

This hob is ideal for anyone who enjoys cooking and wants a reliable, stylish cooking surface. If you have any specific questions or need more information, feel free to ask!",,,,,,,,,,,,,Bosch,,,,,,," Product name/family: Gas hob w integrated controls
 Built-in / Free-standing: Built-in
 Energy input: Gas
 Flame failure safety device
 Power on indicator: No
 Total number of positions that can be used at the same time: 3 
 Width of the appliance: 590 mm
 Dimensions: 56x590x520 mm
 Dimensions of the packed product (HxWxD):  141 x 651 x 578 mm
 Type of control setting devices: sword knobs
 Min. required niche size for installation (HxWxD): 45 x 560-562 x 480-mm
 Net weight: 12.2 kg
 Gross weight: 13.1 kg
 Residual heat indicator: without
 Location of control panel: Front
 Basic surface material: Tempered glass
 Color of surface: Black
 Color of frame: Black
 Length electrical supply cord: 100.0 cm
 Knob Material: Plastic
 Type of frame: For a flush or slightly raised built-in solution.
 Sealed Burners: No
 Power of 2nd heating element (kW): 4 kW
 Power of 5th heating element (kW): 2.3 kW
 Connection rating: 1 W
 Gas connection rating: 8,000 W
 Fuse protection: 3 A
 Voltage: 220-240 V
 Frequency: 50 Hz
 Energy input: Gas
 Gas type: Liquid gas G30,31 28-30/37 mbar
 Alternative gas type: Nat gas H/E/(L) 20 (25) mbar
 Plug type: India plug (6 Ampere)
 Dimensions of the packed product: 5.55 x 22.75 x 25.62
 Net weight: 27.000 lbs
 Gross weight: 29.000 lbs
 Length electrical supply cord: 100.0 cm
 Gas connection: rear, right

",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/cooking-baking/built-in-hobs/gas-hobs/PNC6B6F10I#/Tabs=section-manuals/Togglebox=manuals/,2 years on product manufacturer warranty.
bosch-built-in-gas-hob-60cm-series-4-4-burner-pnh6b6f20i-tempered-glass-black,Bosch Built-in Gas Hob 60CM - Series 4 - 4 Burner -  PNH6B6F20I - Tempered Glass Black,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances,Hob Top,"Bosch, Hob",TRUE,Title,Default Title,,,,,,,,KICH00012,0,shopify,0,deny,manual,40041,44490,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_Built-in_Gas_Hob_60CM-Series4_-_4Burner_-_PNH6B6F20I__-Tempered_Glass_Black-Full_View.webp?v=1737039424,1,Bosch_Built-in_Gas_Hob_60CM-Series4_-_4Burner_-_PNH6B6F20I _-Tempered _Glass _ Black-Full View,FALSE,,"The Bosch PNH6B6F20I is a stylish 60cm built-in gas hob featuring four burners. Its tempered glass surface not only enhances the aesthetic appeal but also makes it easy to clean. 
6mm Tempered Glass.
Four powerful gas burners allows you to cook multiple dishes with a full range BTU performance.
Low Profile Stainless Steel Cooking Surface is Easily Accessible and Quick to Clean.
Here are some key features you might find interesting:
Burner Types: Typically includes different burner sizes for versatile cooking options, allowing you to use various pot sizes effectively.
Flame Failure Safety Device: This feature automatically cuts off the gas supply if the flame goes out, providing an added layer of safety.
Ignition System: Often comes with an automatic ignition feature, making it easy to start the burners with just one hand.
Control Knobs: Usually positioned at the front for easy access, allowing for precise heat control.
Easy Cleaning: The glass surface is designed to be easy to wipe down, reducing maintenance time.
Stylish Design: The black tempered glass finish adds a modern touch to your kitchen.
If you’re looking for a reliable and attractive gas hob, the Bosch PNH6B6F20I could be a great option.
Buy original Bosch Built-in Gas Hob 60CM - Series 4 - 4 Burner - &nbsp;PNH6B6F20I - Tempered Glass Black at wholesale prices from Better Home.",,,,,,,,,,,,,Bosch,,,,,,," Product name/family: Gas hob w integrated controls
 Built-in / Free-standing: Built-in
 Energy input: Gas
 Flame failure safety device
 Power on indicator: No
 Total number of positions that can be used at the same time: 4
 Width of the appliance: 590 mm
 Dimensions: 56x590x520 mm
 Dimensions of the packed product (HxWxD):  141 x 651 x 578 mm
 Type of control setting devices: sword knobs
 Min. required niche size for installation (HxWxD): 45 x 560-562 x 480-mm
 Net weight: .15.0 kg
 Gross weight: . 15.8 kg
 Residual heat indicator: without
 Location of control panel: Front
 Basic surface material: Tempered glass
 Color of surface: Black
 Color of frame: Black
 Length electrical supply cord: 100.0 cm
 Knob Material: Plastic
 Type of frame: For a flush or slightly raised built-in solution.
 Sealed Burners: No
 Power of heating element (kW): 4 kW
 Power of 3rd heating element (kW):  2.3 kW
 Power of 5th heating element (kW):  2.3 kW
 Connection rating: 1 W
 Gas connection rating: 10300 W
 Fuse protection: 3 A
 Voltage: 220-240 V
 Frequency: 50 Hz
 Energy input: Gas
 Gas type: Liquid gas G30,31 28-30/37 mbar
 Alternative gas type: Nat gas H/E/(L) 20 (25) mbar
 Plug type: India plug (16 Ampere)
 Dimensions of the packed product: 5.55 x 22.75 x 25.62
 Net weight: .33.000 lbs
 Gross weight: 35.000 lbs
 Length electrical supply cord: 100.0 cm
 Gas connection: rear, right

",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/cooking-baking/built-in-hobs/gas-hobs/PNH6B6F20I#/Tabs=section-highlights/Togglebox=manuals/,2 years product manufacturer warranty.
bosch-built-in-gas-hob-75cm-series-6-3-burner-pnd7b6f20i-tempered-glass-black,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner - PND7B6F20I - Tempered Glass Black,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances,Hob Top,"Bosch, Hob",TRUE,Title,Default Title,,,,,,,,KICH00011,0,shopify,0,deny,manual,48591,53990,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch_Built-in_Gas_Hob_75CM-Series6_-_3Burner_-_PND7B6F20I_-Tempered_Glass_Black-Full_View.webp?v=1737021923,1,Bosch_Built-in_Gas_Hob_75CM-Series6_-_3Burner_-_PND7B6F20I_-Tempered_Glass_Black-Full_View,FALSE,,"The Bosch PND7B6F20I is a stylish and functional built-in gas hob that features a sleek tempered glass design in black. Here are some key features and specifications:

Key Features:
Size: 75 cm wide, making it suitable for larger kitchens or for those who cook frequently.
Burners: Three burners, allowing for simultaneous cooking of multiple dishes.
Design: Tempered glass surface for a modern look and easy cleaning.
Flame Failure Safety Device: This feature automatically cuts off the gas supply if the flame goes out, enhancing safety during cooking.
Cast Iron Pan Supports: Provides stability and durability for pots and pans.
Easy Ignition: Typically includes a one-hand ignition system for convenience.
Benefits:
Versatile Cooking: The three burners can accommodate a variety of cooking styles, from simmering to boiling.
Easy Maintenance: The glass surface is easy to wipe down after use.
Aesthetic Appeal: The modern look of tempered glass complements contemporary kitchen designs.
If you're considering this hob for your kitchen, it’s a great choice for both functionality and style!
Buy original Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner - &nbsp;PND7B6F20I - Tempered Glass Black at wholesale prices from Better Home.",,,,,,,,,,,,,Bosch,,,,,,," Product name/family: Gas hob w integrated controls
 Built-in / Free-standing: Built-in
 Energy input: Gas
 Flame failure safety device
 Power on indicator: No
 Total number of positions that can be used at the same time: 3
 Type of control setting devices: sword knobs
 Min. required niche size for installation (HxWxD):45 x 560-562 x480-492 mm
 Width of the appliance: 752 mm
 Dimensions: 56x752x520 mm
 Dimensions of the packed product (HxWxD): 165 x 841 x 656 mm
 Net weight: 16.2 kg
 Gross weight: 18.0 kg
 Residual heat indicator: without
 Location of control panel: Front
 Basic surface material: Tempered glass
 Color of surface: Black
 Color of frame: Black
 Length electrical supply cord: 100.0 cm
 Knob Material: Plastic
 Type of frame: For a flush or slightly raised built-in solution.
 Sealed Burners: No
 Connection rating: 1 W
 Gas connection rating: 10300 W
 Fuse protection: 3 A
 Voltage: 220-240 V
 Frequency: 50 Hz
 Energy input: Gas
 Gas type: Liquid gas G30,31 28-30/37 mbar
 Alternative gas type: Nat gas H/E/(L) 20 (25) mbar
 Plug type: India plug (6 Ampere)
 Dimensions of the packed product:  6.49 x 25.82 x 3.11
 Net weight: 36.000 lbs
 Gross weight: 40.000 lbs
 Length electrical supply cord: 100.0 cm
 Gas connection: rear, right
 Type of safety device for gas: Electromagnetic for each burner

",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/cooking-baking/built-in-hobs/gas-hobs/PND7B6G20I#/Tabs=section-highlights/Togglebox=manuals/,2 years product manufacturer warranty.
bosch-built-in-gas-hob-75cm-series-6-3-burner-pnd7b6g20i-tempered-glass-black,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner -  PND7B6G20I - Tempered Glass Black,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances,Hob Top,"Bosch, Hob",TRUE,Title,Default Title,,,,,,,,KICH00010,0,shopify,0,deny,manual,53991,59990,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch-Built-in-Gas-Hob-75CM-Series6-3Burner-PND7B6G20I-Tempered-Glass-Black-Full-View.webp?v=1737017058,1,Bosch-Built-in-Gas-Hob-75CM-Series6-3Burner-PND7B6G20I-Tempered-Glass-Black-Full-View,FALSE,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner -  PND7B6G20I - Tempered Glass Black ,"The Bosch Built-in Gas Hob 75CM - Series 6 (model PND7B6G20I) features a sleek tempered glass black finish, enhancing the modern aesthetic of your kitchen. With three burners, it offers versatility for various cooking needs, allowing you to simmer, sauté, and boil simultaneously.
High-Efficiency Burners: Designed for fast and efficient heating.
Easy Cleaning: The glass surface is easy to wipe down, making maintenance simple.
Flame Failure Safety Device: Automatically cuts off the gas supply if the flame goes out.
Ergonomic Knobs: For easy and precise control over flame levels.
Stylish Design: The black tempered glass not only looks good but is also durable.
6mm Tempered Glass
Buy original Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner - &nbsp;PND7B6G20I - Tempered Glass Black at wholesale prices from Better Home.",,,,,,,,,,,,,Bosch,,,,,,," Product name/family: Gas hob w integrated controls
 Built-in / Free-standing: Built-in
 Energy input: Gas
 Flame failure safety device
 Power on indicator: No
 Total number of positions that can be used at the same time: 3
 Type of control setting devices: sword knobs
 Min. required niche size for installation (HxWxD):45 x 560-562 x480-492 mm
 Width of the appliance: 752 mm
 Dimensions: 56x752x520 mm
 Dimensions of the packed product (HxWxD): 165 x 841 x 656 mm
 Type of safety device for gas: Electromagnetic for each burner
 Net weight: 16.5 kg
 Gross weight: 18.2 kg
 Residual heat indicator: without
 Location of control panel: Front
 Basic surface material: Tempered glass
 Color of surface: Black
 Color of frame: Black
 Length electrical supply cord: 100.0 cm
 Knob Material: Plastic
 Type of frame: For a flush or slightly raised built-in solution.
 Sealed Burners: No
 Connection rating: 1 W
 Gas connection rating: 10300 W
 Fuse protection: 3 A
 Voltage: 220-240 V
 Frequency: 50 Hz
 Energy input: Gas
 Gas type: Liquid gas G30,31 28-30/37 mbar
 Alternative gas type: Nat gas H/E/(L) 20 (25) mbar
 Plug type: India plug (6 Ampere)
 Dimensions of the packed product:  6.49 x 25.82 x 3.11
 Net weight: 36.000 lbs
 Gross weight: 40.000 lbs
 Length electrical supply cord: 100.0 cm
 Gas connection: rear, right

",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/cooking-baking/built-in-hobs/gas-hobs/PND7B6G20I#/Tabs=section-highlights/Togglebox=manuals/,2 years product manufacturer warranty.
ao-smith-z2-pro-under-the-counter-ro-water-purifier,AO Smith Z2 Pro Under the Counter RO Water Purifier,Better Home,Home & Garden > Household Appliances > Water Heaters,Water Purifier,"AO Smith, Electricals, RO Water Purifier",TRUE,Title,Default Title,,,,,,,,HAWP0001,13500,,-2,deny,manual,20100,26490,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/AO_Smith_India_Z2_Pro_Under_the_Counter_RO_Water_Purifier.png?v=1738162504,1,AO_Smith_India_Z2_Pro_Under_the_Counter_RO_Water_Purifier,FALSE,,"Z2 Pro is designed specifically to be placed under the kitchen counter.

Except for the faucet that comes along with it, it stays out of sight and comes engineered with the highest standard of RO technology.

Purified water is collected for drinking in a storage tank and impurities in the water are flushed through the drain.

Z2 Pro keeps your kitchen clutter-free, complements your kitchen interior while ensuring you get 100% RO purified water with all essential minerals in it.

Buy original AO Smith India Z2 Pro Under the Counter RO Water Purifier at wholesale prices from Better Home.



",,,,,,,,,,,,,AO Smith,White,,,,,," Dimension (H x D x W) in mm: 420 x 410 x 270
 Water Source: Borewell, Mix- Multiple Sources, Tanker
 Purifier Type: 100% RO ( Reverse Osmosis) +Copper Fortified Mineralizer ( Copper+ Min-Tech)
 Purifier Placement: Under the Counter
 Technology: RO
 Value Added Features: Digital Display
 Pressure rating in psi# 7 ~ 30
 Input Voltage in watt: 150 ~ 300V AC / 50 Hz
 Power rating:  watt (Max) 48
 % Recovery: Upto 30%
 TDS reduction:  ≥95% (approx.)
 Water flow rate Upto 15 Litres/hour
 Suitable for TDS level Upto 2000 ppm
 Suitable for hardness level Upto 500 ppm
",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.aosmithindia.com/product/water-purifier/ro/z2-pro/?srsltid=AfmBOorIaaM5Hg1w9o5Y0sS2zW9_n-C8bRulS7_FT9ZMhZR1aPQQ2jUn,"1-Year Comprehensive Yes (including all filters
Warranty and RO membrane)"
ao-smith-xpress-storage-water-heater-25-ltrs,AO Smith Xpress Storage Water Heater 25 Ltrs,Better Home,Home & Garden > Household Appliances > Water Heaters,Water Heater,"AO Smith, Electricals, Storage Water Heater",TRUE,Title,Default Title,,,,,,,,ELST0118,6300,,0,deny,manual,14990,18200,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/AO_-_Smith_-_Xpress_-_Storage_-_Water_-_Heater_-_25ltrs-FullView.png?v=1736743157,1,AO_-_Smith_-_Xpress_-_Storage_-_Water_-_Heater_-_25ltrs-FullView,FALSE,,"Xpress Series values your time. This is why they give you hot water 33% faster compared to ordinary water heaters of 3KW.

Express Heat with 33% faster heating than 2kW water heaters.


Buy original AO Smith Xpress Storage Water Heater 15 Ltrs at wholesale prices from Better Home.





",621,,,,,,,,,,,,AO Smith,White,,,,,," Volume: 25L
 Power [W] : 3000W
 Voltage/Frequency [V/Hz] : 230~/50
 BEE 5 Star Rating: 5 Star
 Weight: 9.8 kg
 Dimensions H x W x D : 444x444x383 mm
 Smart Modes enable you to customize your hot water requirements as you like it.
 Long lasting performance glass coated incoloy heating element.
 High energy efficiency with BEE 5 Star rating.
 Longer life in toughest water conditions with Blue Diamond glass lined tank.
 Double protection for your family with Thermal cut out & safety valve.
 Long lasting anode rod with 2X lifespan even in hard water conditions.",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.aosmithindia.com/product/water-heater/storage-water-heater/xpress/,
ao-smith-xpress-storage-water-heater-15-ltrs,AO Smith Xpress Storage Water Heater 15  Ltrs,Better Home,Home & Garden > Household Appliances > Water Heaters,Water Heater,"AO Smith, Electricals, Storage Water Heater",TRUE,Title,Default Title,,,,,,,,ELST0117,6300,,0,deny,manual,12990,16400,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/AO_-_Smith_-_Xpress_-_Storage_-_Water_-_Heater_-_25ltrs-FullView.png?v=1736743157,1,AO_-_Smith_-_Xpress_-_Storage_-_Water_-_Heater_-_25ltrs-FullView,FALSE,,"Xpress Series values your time. This is why they give you hot water 33% faster compared to ordinary water heaters of 3KW.

Express Heat with 33% faster heating than 2kW water heaters.


Buy original AO Smith Xpress Storage Water Heater 15 Ltrs at wholesale prices from Better Home.





",621,,,,,,,,,,,,AO Smith,White & Ivory,,,,,," Volume: 15L
 Power [W] : 3000W
 Voltage/Frequency [V/Hz] : 230~/50
 BEE 5 Star Rating: 5 Star
 Weight: 9.8 kg
 Dimensions H x W x D : 373 x 373 x 348 mm
 Smart Modes enable you to customize your hot water requirements as you like it.
 Long lasting performance glass coated incoloy heating element.
 High energy efficiency with BEE 5 Star rating.
 Longer life in toughest water conditions with Blue Diamond glass lined tank.
 Double protection for your family with Thermal cut out & safety valve.
 Long lasting anode rod with 2X lifespan even in hard water conditions.",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.aosmithindia.com/product/water-heater/storage-water-heater/xpress/,
bosch-free-standing-dishwasher-13-place-settings-series-6-60-cm-sms66gw01i-white,Bosch Free-Standing Dishwasher 13 Place Settings - Series 6 - 60 Cm - SMS66GW01I - White,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers,Dishwasher,"Dishwasher, Home Appliances",TRUE,Title,Default Title,,,,,,,,HADW0016,0,,0,deny,manual,40491,44990,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch-Free-Standing-Dishwasher-13Place-Settings-Series6-60Cm-SMS66GW01I-White-FrontView.webp?v=1736572280,1,Bosch-Free-Standing-Dishwasher-13Place-Settings-Series6-60Cm-SMS66GW01I-White-FrontView,FALSE,,"The Bosch Series 6 Free-Standing Dishwasher, model SMS66GW01I&nbsp;, is a 60 cm appliance designed to accommodate 13 place settings.

Home Connect: Home appliances with smart connectivity for an easier everyday life.

Extra Dry: Extra-thorough drying option for difficult-to-dry loads.

Eco Silence Drive: Especially energy-saving and silent in operation with a particularly high life span.

6programmes:Intensive Plus70 °C, Normal Express 65 °C, Auto 45-65 °C, Eco 50 °C, Party 45 °C, Pre-rinse

Buy original Bosch Free-Standing Dishwasher 13 Place Settings - Series 6 - 60 Cm - SMS66GW01I - White at wholesale prices from Better Home.








",680,,,,,,,,,,,,Bosch,,,,,,," 13 Place Settings
 Energy consumption in programme Eco 50: 1.02 kWh
 Water consumption in programme Eco 50: 13 litres
 Noise level: 52 dB
 Dimensions (HxWxD): 84.5 x 60 x 60 cm
 6programmes:Intensive Plus70 °C, Normal Express 65 °C, Auto 45-65 °C, Eco 50 °C, Party 45 °C, Pre-rinse
Programme remaining time indicator
 Child Lock - for control panel
 Door Latch
 VarioBasket system
 Adjustable upper rack: Single
 2 flip tines front left
 4x flip tines divided
 4 temperatures cleaning temperatures
 speed Matic hydraulic system
 Cutlery basket LR: variable
 Total annual energy consumption 220 days:  224 kWh
 Total annual water consumption 220 days: 2090 l
 Built-in / Free-standing: Freestanding
 Height of removable worktop: 30 mm
 Height of the appliance: 845 mm
 Adjustable feet: Yes - all
 Maximum adjustability feet: 20 mm
 Net weight: 43.6 kg
 Gross weight: 44.8 kg
 Connection rating: 2400 W
 Fuse protection:10 A
 Voltage: 220-240 V
 Frequency: 50; 60 Hz
 Length electrical supply cord: 175.0 cm
 Plug type: India plug (16 Ampere)
 Length inlet hose: 150 cm
 Length outlet hose: 190 cm
 Hidden heating element:  Yes
 Child safety devices: Button suspension
 Water softener: Yes
 Top basket type: Low
 Adjustable upper basket: Single
 Bottom basket type: mid
 Optional accessories: SGZ1010, SMZ2014, SMZ5000, SMZ5001,SMZ5002, SMZ5300
 Colour / Material panel: White
 Colour / Material body: White
 Colour / Material top: White
 Dimensions of the product (HxWxD): 845 x 600 x 600 mm
 Dimensions of the packed product (HxWxD): 880 x 660 x 680 mm











",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/dishwashers/free-standing-dishwashers/free-standing-dishwashers-with-60cm-width/SMS66GW01I#/Tabs=section-highlights/Togglebox=manuals/Togglebox=accessoriesOthers/,2 years Product manufacturer warranty. 10 years manufacturer warranty against rust on inner tub.
bosch-free-standing-dishwasher-13-place-settings-series-6-60-cm-sms66gi01i-brushed-steel-anti-fingerprint,Bosch Free-Standing Dishwasher 13 Place Settings - Series 6 - 60 Cm - SMS66GI01I - Brushed steel anti-fingerprint,Better Home,Home & Garden > Kitchen & Dining > Kitchen Appliances > Dishwashers,Dishwasher,"Dishwasher, Home Appliances",TRUE,Title,Default Title,,,,,,,,HADW0015,0,,0,deny,manual,43641,48490,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/Bosch-Free-Standing-Dishwasher-13Place-Settings-Series6-60Cm-SMS66GI01I-Brushed-steelanti-fingerprint-FrontView.webp?v=1736568077,1,Bosch-Free-Standing-Dishwasher-13Place-Settings-Series6-60Cm-SMS66GI01I-Brushed-steelanti-fingerprint-FrontView,FALSE,,"The Bosch Series 6 Free-Standing Dishwasher, model SMS66GI01I is a 60 cm appliance designed to accommodate 13 place settings.

Home Connect: Home appliances with smart connectivity for an easier everyday life.

Extra Dry: Extra-thorough drying option for difficult-to-dry loads.

Eco Silence Drive: Especially energy-saving and silent in operation with a particularly high life span.

6programmes: Intensive Kadhai 70°C,Auto 45-65°C, Express Sparkle 65°C, Eco 50°C, Quick 45°C, Pre-rinse.

Buy original Bosch dishwashers at wholesale prices from Better Home.










",680,,,,,,,,,,,,Bosch,,,,,,," 13 Place Settings
 Energy consumption: 1.35 kWh
 Water consumption: 13 litres
 Noise level: 52 dB
 Dimensions (HxWxD): 84.5 x 60 x 60 cm
 Energy consumption in programme Eco 50: 1.02 kWh
 6programmes:Intensive Kadhai 70°C,Auto 45-65°C, Express Sparkle 65°C, Eco 50°C, Quick 45°C, Pre-rinse
 Eco Silence Drive
 Top Shower
 Aqua Sensor
 Inner Tub: Inner tub: Stainless steel/Polinox
 Dosage Assist basket
  Programme remaining time indicator
 LED salt refill indicator
 LED rinse aid refill indicator
 Time delay: 1 - 24 hr
 Child Lock - for control panel
 Door Latch
 VarioBasket system
 Adjustable upper rack: Single
 2 flip tines front left
 4x flip tines divided
 Cutlery basket LR: variable
 Total annual energy consumption 220 days:  224 kWh
 Total annual water consumption 220 days: 2090 l
 Built-in / Free-standing: Freestanding
 Height of removable worktop: 30 mm
 Height of the appliance: 845 mm
 Adjustable feet: Yes - all
 Maximum adjustability feet: 20 mm
 Net weight: .44.4 kg
 Gross weight: 45.6 kg
 Connection rating: 2400 W
 Fuse protection:10 A
 Voltage: 220-240 V
 Frequency: 50; 60 Hz
 Length electrical supply cord: 175.0 cm
 Plug type: India plug (16 Ampere)
 Length inlet hose: 150 cm
 Length outlet hose: 190 cm
 Hidden heating element:  Yes
 Child safety devices: Button suspension
 Water softener: Yes
 Top basket type: Low
 Adjustable upper basket: Single
 Bottom basket type: mid
 Optional accessories:  SGZ1010, SMZ2014, SMZ5000, SMZ5001,SMZ5002, SMZ5300
 Colour / Material panel: Stainless steel colour, lacqu.
 Colour / Material body: Brushed steel anti-fingerprint
 Colour / Material top: Stainless steel colour, lacqu.
 Dimensions of the product (HxWxD): 845 x 600 x 600 mm
 Dimensions of the packed product (HxWxD): 880 x 660 x 680 mm











",,,,,Immediately return goods on delivery in case of any damages found.,,https://www.bosch-home.in/productlist/dishwashers/free-standing-dishwashers/free-standing-dishwashers-with-60cm-width/SMS66GI01I#/Tabs=section-highlights/Togglebox=manuals/Togglebox=accessoriesOthers/,2 years Product manufacturer warranty. 10 years manufacturer warranty against rust on inner tub.
